,complex_nm,trains,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17
107,Bay Pkwy,N,2221968.0,2243082.0,2342792.0,2298369.0,3435240.0,2950253.0,1526.0,1575.0,1516.0,1491.0,1329.0,729,1518.0,1578.0,1690.0,1476.0,1232.0,522
108,Bay Ridge Av,R,2522369.0,2525470.0,2597559.0,2623309.0,2622438.0,1282256.0,6892.0,6990.0,7301.0,7164.0,10955.0,9328,9107.0,8457.0,8808.0,8609.0,11631.0,10537
109,Bay Ridge-95 St,R,1809829.0,1830193.0,1858200.0,1865038.0,1853049.0,1755379.0,8206.0,8079.0,8283.0,8379.0,8415.0,4173,8618.0,8590.0,8967.0,9001.0,8719.0,4005
110,Bedford Av,L,8342397.0,9214395.0,9892516.0,9388289.0,9688560.0,9644831.0,5996.0,5974.0,6051.0,6101.0,6090.0,5969,5700.0,5692.0,5837.0,5730.0,5510.0,4361
111,Bedford-Nostrand Avs,G,2138852.0,2348998.0,2513681.0,2634066.0,2697942.0,2779124.0,23825.0,25755.0,27224.0,27132.0,27486.0,27783,43891.0,49553.0,54863.0,45740.0,49479.0,48007
112,Bergen St,2 3,1397036.0,1296199.0,1236513.0,1210571.0,1231084.0,1180684.0,6755.0,7300.0,7778.0,8197.0,8487.0,8741,8239.0,9008.0,9798.0,10057.0,9815.0,10274
113,Bergen St,F G,3529174.0,3650848.0,3711317.0,3708300.0,3599389.0,3525144.0,4472.0,4070.0,3923.0,3823.0,3884.0,3853,5126.0,4825.0,4381.0,4384.0,4433.0,3729
114,Beverley Rd,Q,950243.0,737652.0,838970.0,899663.0,953903.0,1038252.0,11370.0,11562.0,11570.0,11548.0,11529.0,11306,12573.0,13031.0,14118.0,14243.0,12161.0,12047
115,Beverly Rd,2 5,1274789.0,1364573.0,1360719.0,1392643.0,1379958.0,1348244.0,3096.0,2340.0,2690.0,2894.0,3059.0,3267,3198.0,2561.0,2787.0,2967.0,3183.0,3811
116,Brighton Beach,B Q,3781554.0,3810743.0,3872092.0,4014831.0,4044514.0,3957811.0,4199.0,4375.0,4447.0,4457.0,4464.0,4384,4061.0,4569.0,4176.0,4699.0,4376.0,4268
117,Broadway,G,1023397.0,1071877.0,1124407.0,1313362.0,1397227.0,1385797.0,12376.0,12185.0,12498.0,12794.0,13035.0,12587,12461.0,12912.0,12524.0,13763.0,13137.0,13830
118,Broadway Junction,A C J L Z,2862830.0,2948156.0,3018656.0,3133658.0,3085401.0,2911532.0,3272.0,3368.0,3500.0,4011.0,4340.0,4452,3737.0,3905.0,4261.0,5368.0,5292.0,4592
119,Bushwick Av-Aberdeen St,L,427032.0,490042.0,563577.0,598393.0,672880.0,682086.0,8790.0,8863.0,9149.0,9251.0,9189.0,8681,12206.0,12707.0,12553.0,14361.0,13638.0,12960
120,Canarsie-Rockaway Pkwy,L,3920243.0,4062690.0,4175970.0,4024313.0,3897784.0,3828628.0,1371.0,1509.0,1683.0,1874.0,2105.0,2112,1533.0,1945.0,2477.0,2198.0,2470.0,2683
