,complex_id,complex_nm_old,complex_nm,trains_old,trains,station_ct,bcode,stop_lat,stop_lon,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy07,avwkdy08,avwkdy09,avwkdy10,avwkdy11,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,avwken07,avwken08,avwken09,avwken10,avwken11,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18,srv_notes,unique_id
50,bx051,Mt Eden Av,Mt Eden Av,4,4,1.0,36005.0,40.844434,-73.914685,1538588.0,1607256.0,1766092.0,1843698.0,1814951.0,1818870.0,1848483.0,1824861.0,1844131.0,1824478.0,1708790.0,1652407.0,4937.0,5174.0,5615.0,5848.0,5748.0,5859.0,5995.0,5891.0,5817.0,5770.0,5512.0,5337.0,5148.0,5184.0,6128.0,6495.0,6519.0,6444.0,5851.0,5899.0,6623.0,6435.0,5612.0,5360.0,,Mt Eden Av_1848483.0
51,bx052,Nereid Av,Nereid Av,2 5,2 5,1.0,36005.0,40.898379,-73.854376,857763.0,929559.0,924584.0,1001851.0,1025004.0,1086227.0,1195804.0,1183733.0,1162973.0,1131328.0,1085289.0,1034335.0,2840.0,3107.0,3080.0,3307.0,3420.0,3603.0,3878.0,3850.0,3817.0,3753.0,3631.0,3437.0,2478.0,2473.0,2557.0,2941.0,2849.0,3396.0,3841.0,3725.0,3501.0,3188.0,2933.0,2923.0,,Nereid Av_1195804.0
52,bx053,Norwood-205 St,Norwood-205 St,D,D ,1.0,36005.0,40.874811,-73.878855,2382795.0,2493009.0,2308963.0,2410949.0,2472094.0,2463462.0,2569581.0,2709761.0,2750124.0,2805984.0,2723506.0,2611874.0,7626.0,7869.0,7588.0,7602.0,7779.0,7872.0,8043.0,8466.0,8640.0,8897.0,8751.0,8429.0,8087.0,8823.0,6792.0,8706.0,9120.0,9025.0,9562.0,10155.0,10070.0,9797.0,9127.0,8534.0,,Norwood-205 St_2569581.0
53,bx054,Parkchester,Parkchester,6,6,1.0,36005.0,40.833226,-73.860816,4605514.0,4720570.0,4691478.0,3944729.0,4851182.0,4687402.0,5215409.0,5586943.0,5224959.0,5201901.0,5071740.0,4836244.0,14708.0,15189.0,14978.0,12724.0,15516.0,15190.0,16614.0,17746.0,16572.0,16561.0,16310.0,15660.0,15830.0,15370.0,16076.0,12886.0,16757.0,16260.0,18063.0,19613.0,18457.0,17932.0,17051.0,15597.0,x,Parkchester_5215409.0
54,bx055,Pelham Bay Park,Pelham Bay Park,6,6,1.0,36005.0,40.852462,-73.828121,1836334.0,1931973.0,1946139.0,1997392.0,2062525.0,2030215.0,2096130.0,2318533.0,2337689.0,2208725.0,2207720.0,2146552.0,6010.0,6262.0,6299.0,6538.0,6705.0,6688.0,6772.0,7442.0,7432.0,7213.0,7185.0,7001.0,5584.0,6023.0,6193.0,6039.0,6571.0,6516.0,6804.0,7778.0,8134.0,6733.0,6991.0,6675.0,,Pelham Bay Park_2096130.0
55,bx056,Pelham Pkwy,Pelham Pkwy,2 5,2 5,1.0,36005.0,40.857192,-73.867615,2313926.0,2514944.0,2585393.0,2703568.0,2701431.0,2882651.0,3028494.0,3084862.0,3066190.0,2955589.0,2849210.0,2639586.0,7373.0,8116.0,8287.0,8691.0,8850.0,9288.0,9614.0,9688.0,9774.0,9441.0,9173.0,8472.0,8016.0,8048.0,8656.0,9007.0,8269.0,10246.0,10637.0,11322.0,10586.0,10022.0,9452.0,8836.0,,Pelham Pkwy_3028494.0
56,bx057,Pelham Pkwy,Pelham Pkwy,5,5,1.0,36005.0,40.858985,-73.855359,840151.0,870544.0,832968.0,883490.0,897433.0,923188.0,919689.0,907735.0,894727.0,897374.0,869177.0,844884.0,2950.0,3054.0,3011.0,3139.0,3236.0,3314.0,3254.0,3304.0,3303.0,3332.0,3237.0,3083.0,1648.0,1659.0,1196.0,1567.0,1361.0,1746.0,1673.0,1210.0,944.0,858.0,866.0,1084.0,,Pelham Pkwy_919689.0
57,bx058,Prospect Av,Prospect Av,2 5,2 5,1.0,36005.0,40.819585,-73.90177,2208977.0,2335593.0,2282752.0,2326054.0,2209945.0,2125066.0,2311798.0,2445131.0,2394820.0,2513169.0,2413743.0,2142697.0,7064.0,7457.0,7291.0,7551.0,7212.0,7053.0,7424.0,7857.0,7908.0,8004.0,7704.0,7038.0,7527.0,7853.0,7766.0,7440.0,6950.0,6521.0,7683.0,8085.0,6935.0,8587.0,8324.0,6381.0,,Prospect Av_2311798.0
58,bx059,Simpson St,Simpson St,2 5,2 5,1.0,36005.0,40.824073,-73.893064,2816132.0,2974529.0,2874093.0,3057192.0,2901513.0,2810789.0,3027856.0,3121036.0,3048014.0,3046838.0,2965807.0,2585974.0,8851.0,9375.0,9095.0,9815.0,9421.0,9243.0,9672.0,9948.0,9981.0,9680.0,9446.0,8477.0,10322.0,10570.0,10148.0,10279.0,9372.0,9045.0,10310.0,10690.0,9234.0,10504.0,10334.0,7792.0,,Simpson St_3027856.0
59,bx060,St Lawrence Av,St Lawrence Av,6,6,1.0,36005.0,40.831509,-73.867618,1212190.0,1297041.0,1284770.0,1655340.0,463809.0,1212796.0,1280074.0,1315456.0,1320571.0,1329758.0,1334387.0,1273609.0,3810.0,4036.0,4016.0,5093.0,1427.0,3852.0,3995.0,4099.0,4185.0,4187.0,4196.0,4040.0,4421.0,4852.0,4782.0,6624.0,1780.0,4537.0,4805.0,4970.0,4633.0,4776.0,4898.0,4482.0,x,St Lawrence Av_1280074.0
60,bx061,Tremont Av,Tremont Av,B D,B D,1.0,36005.0,40.85041,-73.905227,2769024.0,2811145.0,2702043.0,2709632.0,2772602.0,2791329.0,2952385.0,3130848.0,3155197.0,3213396.0,3154608.0,3246064.0,8767.0,8842.0,8542.0,8513.0,8767.0,8882.0,9157.0,9727.0,9980.0,10246.0,10055.0,10398.0,9830.0,10074.0,9596.0,9896.0,9987.0,10412.0,11386.0,12001.0,11209.0,10921.0,10962.0,10951.0,,Tremont Av_2952385.0
61,bx062,Van Cortlandt Park-242 St,Van Cortlandt Park-242 St,1,1,1.0,36005.0,40.889248,-73.898583,1829242.0,1974147.0,1925846.0,1878788.0,1937333.0,2041551.0,2148667.0,2188428.0,2266986.0,2294482.0,2249314.0,2333136.0,5758.0,6184.0,6040.0,6148.0,6504.0,6641.0,6943.0,7107.0,7338.0,7431.0,7396.0,7742.0,6673.0,7229.0,7098.0,5688.0,5173.0,6968.0,6966.0,6927.0,7302.0,7317.0,6865.0,6728.0,,Van Cortlandt Park-242 St_2148667.0
62,bx063,Wakefield-241 St,Wakefield-241 St,2,2,1.0,36005.0,40.903125,-73.85062,1272043.0,1344876.0,1340643.0,1471501.0,1560698.0,1603076.0,1528793.0,1669608.0,1654707.0,1662337.0,1578125.0,1484478.0,4002.0,4257.0,4212.0,4582.0,4955.0,5048.0,4825.0,5168.0,5186.0,5213.0,5129.0,4763.0,4624.0,4667.0,4862.0,5553.0,5508.0,6195.0,5443.0,6451.0,6094.0,6069.0,5027.0,4954.0,x,Wakefield-241 St_1528793.0
