tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,complex_nm,trains,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18
2311798.0,2445131.0,2394820.0,2513169.0,2413743.0,2142697,7424.0,7857.0,7908.0,8004.0,7704,7038,Prospect Av,2 5,7683.0,8085.0,6935.0,8587.0,8324,6381
3027856.0,3121036.0,3048014.0,3046838.0,2965807.0,2585974,9672.0,9948.0,9981.0,9680.0,9446,8477,Simpson St,2 5,10310.0,10690.0,9234.0,10504.0,10334,7792
1280074.0,1315456.0,1320571.0,1329758.0,1334387.0,1273609,3995.0,4099.0,4185.0,4187.0,4196,4040,St Lawrence Av,6,4805.0,4970.0,4633.0,4776.0,4898,4482
2952385.0,3130848.0,3155197.0,3213396.0,3154608.0,3246064,9157.0,9727.0,9980.0,10246.0,10055,10398,Tremont Av,B D,11386.0,12001.0,11209.0,10921.0,10962,10951
2148667.0,2188428.0,2266986.0,2294482.0,2249314.0,2333136,6943.0,7107.0,7338.0,7431.0,7396,7742,Van Cortlandt Park-242 St,1,6966.0,6927.0,7302.0,7317.0,6865,6728
1528793.0,1669608.0,1654707.0,1662337.0,1578125.0,1484478,4825.0,5168.0,5186.0,5213.0,5129,4763,Wakefield-241 St,2,5443.0,6451.0,6094.0,6069.0,5027,4954
2514240.0,2567773.0,2437882.0,2465907.0,2388659.0,2094751,7979.0,8170.0,8010.0,7848.0,7657,6866,West Farms Sq-East Tremont Av,2 5,8803.0,8875.0,7230.0,8447.0,8074,6283
2043649.0,2177402.0,2056555.0,1952473.0,1917007.0,1817925,6820.0,7351.0,6912.0,6635.0,6479,6097,Westchester Sq-East Tremont Av,6,5674.0,5619.0,5464.0,4784.0,4999,4903
534489.0,543798.0,545079.0,571352.0,595385.0,592103,1685.0,1707.0,1737.0,1830.0,1905,1894,Whitlock Av,6,1933.0,2002.0,1864.0,1913.0,2035,2013
2423278.0,2375663.0,2418890.0,2380900.0,2242100.0,2160859,7776.0,7683.0,7637.0,7623.0,7260,6937,Woodlawn,4,8125.0,7686.0,8724.0,8010.0,7271,7251
985388.0,599478.0,492883.0,784314.0,799739.0,792928,3253.0,2012.0,1647.0,2629.0,2664,2629,Zerega Av,6,2885.0,1576.0,1327.0,2080.0,2253,2274
2005424.0,2017347.0,2011237.0,1958444.0,1917454.0,1867619,6448.0,6495.0,6385.0,6342.0,6272,6136,15 St-Prospect Park,F G,6658.0,6651.0,7103.0,6272.0,5968,5622
1954729.0,1996205.0,1925239.0,2003777.0,1948610.0,1909554,6162.0,6326.0,6242.0,6413.0,6196,6136,18 Av,D,7057.0,7032.0,6073.0,6681.0,6807,6328
1313344.0,1277024.0,1392552.0,1344286.0,1281041.0,1163390,4204.0,4050.0,4458.0,4440.0,4318,3947,18 Av,F,4398.0,4465.0,4663.0,3787.0,3271,2807
1641928.0,1775695.0,1784992.0,723187.0,992834.0,981261,5092.0,5491.0,5502.0,2266.0,3107,3097,18 Av,N,6296.0,6865.0,6996.0,2602.0,3695,3516
1547029.0,1564060.0,1592525.0,1656437.0,1579804.0,1534396,4859.0,4930.0,5115.0,5268.0,5009,4905,20 Av,D,5658.0,5621.0,5252.0,5656.0,5584,5191
1286961.0,1305487.0,1279525.0,409416.0,664120.0,1075077,4190.0,4277.0,4223.0,1348.0,2139,3514,20 Av,N,4026.0,3946.0,3701.0,1176.0,2194,3286
1421090.0,1488192.0,1508412.0,1992945.0,1789365.0,1571134,4607.0,4761.0,4886.0,6507.0,5790,5083,25 Av,D,4536.0,5053.0,4827.0,6064.0,5798,5078
